Year,Month,Revenue Passenger Miles,Airport Name
2015,11,3793249,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2015,12,3848940,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2016,1,3708026,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2016,2,3377932,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2016,3,4014275,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2016,4,3996304,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2016,5,4273700,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2016,6,4480216,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2016,7,4686706,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2016,8,4452187,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2016,9,4006126,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2016,10,4186703,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2016,11,3839019,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2016,12,3963153,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2017,1,3777733,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2017,2,3413077,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2017,3,4201476,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2017,4,4050167,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2017,5,4364173,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2017,6,4663077,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2017,7,4949089,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2017,8,4748822,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2017,9,3916704,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2017,10,4335172,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2017,11,3902890,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2017,12,3873306,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2018,1,3813173,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2018,2,3484203,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
