Popularity,date,Monthly Listeners,artist
92.0,2021-08-18,45020158,Rihanna
92.0,2021-08-19,45020158,Rihanna
92.0,2021-08-20,45022894,Rihanna
92.0,2021-08-21,45009060,Rihanna
92.0,2021-08-22,45007455,Rihanna
92.0,2021-08-23,45000542,Rihanna
92.0,2021-08-24,45000542,Rihanna
92.0,2021-08-25,44999765,Rihanna
92.0,2021-08-26,45003660,Rihanna
92.0,2021-08-27,44989479,Rihanna
92.0,2021-08-28,45005031,Rihanna
92.0,2021-08-29,45005833,Rihanna
92.0,2021-08-30,45005833,Rihanna
92.0,2021-08-31,45035903,Rihanna
92.0,2021-09-01,45059540,Rihanna
92.0,2021-09-02,45068808,Rihanna
92.0,2021-09-03,45057400,Rihanna
92.0,2021-09-04,45030670,Rihanna
92.0,2021-09-05,45036021,Rihanna
91.0,2021-09-06,45076868,Rihanna
91.0,2021-09-07,45085550,Rihanna
90.0,2021-09-08,45080154,Rihanna
90.0,2021-09-09,45080154,Rihanna
89.0,2021-09-10,45047047,Rihanna
89.0,2021-09-11,45043851,Rihanna
89.0,2021-09-12,45023167,Rihanna
89.0,2021-09-13,44989137,Rihanna
89.0,2021-09-14,44989137,Rihanna
89.0,2021-09-15,44968556,Rihanna
89.0,2021-09-16,44953234,Rihanna
89.0,2021-09-17,44944330,Rihanna
89.0,2021-09-18,44943252,Rihanna
89.0,2021-09-19,44943252,Rihanna
89.0,2021-09-20,44961815,Rihanna
89.0,2021-09-21,44904931,Rihanna
89.0,2021-09-22,44885905,Rihanna
89.0,2021-09-23,44884563,Rihanna
89.0,2021-09-24,44874563,Rihanna
89.0,2021-09-25,44879353,Rihanna
89.0,2021-09-26,44879353,Rihanna
89.0,2021-09-27,44902341,Rihanna
89.0,2021-09-28,44871371,Rihanna
89.0,2021-09-29,44804888,Rihanna
89.0,2021-09-30,44777684,Rihanna
89.0,2021-10-01,44777684,Rihanna
89.0,2021-10-02,44793314,Rihanna
89.0,2021-10-03,44793314,Rihanna
89.0,2021-10-04,44831952,Rihanna
89.0,2021-10-05,44766796,Rihanna
89.0,2021-10-06,44760314,Rihanna
89.0,2021-10-07,44760314,Rihanna
90.0,2021-10-08,44788118,Rihanna
90.0,2021-10-09,44800754,Rihanna
90.0,2021-10-10,44841011,Rihanna
90.0,2021-10-11,44842870,Rihanna
90.0,2021-10-12,44904091,Rihanna
90.0,2021-10-13,44904091,Rihanna
90.0,2021-10-14,44926694,Rihanna
90.0,2021-10-15,44917816,Rihanna
90.0,2021-10-16,44924418,Rihanna
90.0,2021-10-17,45017910,Rihanna
90.0,2021-10-18,45079561,Rihanna
90.0,2021-10-19,45079561,Rihanna
90.0,2021-10-20,45151210,Rihanna
90.0,2021-10-21,45269530,Rihanna
90.0,2021-10-22,45337546,Rihanna
90.0,2021-10-23,45337546,Rihanna
90.0,2021-10-24,45359545,Rihanna
90.0,2021-10-25,45388903,Rihanna
90.0,2021-10-26,45425920,Rihanna
90.0,2021-10-27,45425920,Rihanna
91.0,2021-10-28,45542977,Rihanna
91.0,2021-10-29,45542977,Rihanna
91.0,2021-10-30,45604277,Rihanna
91.0,2021-10-31,45968605,Rihanna
91.0,2021-11-01,46351175,Rihanna
91.0,2021-11-02,46455587,Rihanna
91.0,2021-11-03,46455587,Rihanna
91.0,2021-11-04,46458132,Rihanna
91.0,2021-11-05,46458132,Rihanna
91.0,2021-11-06,46444883,Rihanna
91.0,2021-11-07,46381158,Rihanna
91.0,2021-11-08,46372466,Rihanna
91.0,2021-11-09,46372466,Rihanna
91.0,2021-11-10,46344658,Rihanna
91.0,2021-11-11,46385485,Rihanna
91.0,2021-11-12,46399887,Rihanna
91.0,2021-11-13,46344571,Rihanna
91.0,2021-11-14,46308087,Rihanna
91.0,2021-11-15,46247529,Rihanna
91.0,2021-11-16,46199338,Rihanna
91.0,2021-11-17,46199338,Rihanna
